OBJECTID,GEOGRAPHY_NAME,YEAR,GEOGRAPHY,SEX,RACE_ETHNICITY,AGE_CATEGORY,LEADING_CAUSE_DEATH,METRIC_NAME,METRIC_VALUE,QUALITY_FLAG,ESTIMATE_TYPE,Shape__Area,Shape__Length
1,Central,2015,Planning district,All sexes,All races/ethnicities,35+,Pulmonary diseases,smoking_attributable_deaths,21.39861788,,Final,28221330.1835938,28401.8230651796
2,Central,2023,Planning district,All sexes,All races/ethnicities,35+,Pulmonary diseases,age_adjusted_smoking_attributable_mortality_rate_per_100k,23.747505,,Preliminary,28221330.1835938,28401.8230651796
3,Central,2014,Planning district,All sexes,All races/ethnicities,35+,Pulmonary diseases,age_adjusted_smoking_attributable_mortality_rate_per_100k,46.95347652,,Final,28221330.1835938,28401.8230651796
4,Central,2015,Planning district,All sexes,All races/ethnicities,35+,Cardiovascular and metabolic diseases,age_adjusted_smoking_attributable_mortality_rate_per_100k,69.86463625,,Final,28221330.1835938,28401.8230651796
5,Central,2023,Planning district,All sexes,All races/ethnicities,35+,Pulmonary diseases,smoking_attributable_deaths,19.87389174,,Preliminary,28221330.1835938,28401.8230651796
6,Central,2017,Planning district,All sexes,All races/ethnicities,35+,Pulmonary diseases,age_adjusted_smoking_attributable_mortality_rate_per_100k,35.55392106,,Final,28221330.1835938,28401.8230651796
7,Central,2014,Planning district,All sexes,All races/ethnicities,35+,Pulmonary diseases,smoking_attributable_deaths,27.43681015,,Final,28221330.1835938,28401.8230651796
8,Central,2015,Planning district,All sexes,All races/ethnicities,35+,Pulmonary diseases,age_adjusted_smoking_attributable_mortality_rate_per_100k,36.56790216,,Final,28221330.1835938,28401.8230651796
9,Central,2019,Planning district,All sexes,All races/ethnicities,35+,Cardiovascular and metabolic diseases,smoking_attributable_deaths,47.61076996,,Final,28221330.1835938,28401.8230651796
10,Central,2013,Planning district,All sexes,All races/ethnicities,35+,Cancers,smoking_attributable_deaths,44.02999243,,Final,28221330.1835938,28401.8230651796
11,Central,2013,Planning district,All sexes,All races/ethnicities,35+,Pulmonary diseases,age_adjusted_smoking_attributable_mortality_rate_per_100k,59.29135276,,Final,28221330.1835938,28401.8230651796
12,Central,2023,Planning district,All sexes,All races/ethnicities,35+,Cardiovascular and metabolic diseases,smoking_attributable_deaths,41.81759518,,Preliminary,28221330.1835938,28401.8230651796
13,Central,2021,Planning district,All sexes,All races/ethnicities,35+,Cardiovascular and metabolic diseases,smoking_attributable_deaths,44.27585257,,Final,28221330.1835938,28401.8230651796
14,Central,2015,Planning district,All sexes,All races/ethnicities,35+,Cancers,age_adjusted_smoking_attributable_mortality_rate_per_100k,85.43994938,,Final,28221330.1835938,28401.8230651796
15,Central,2019,Planning district,All sexes,All races/ethnicities,35+,Cardiovascular and metabolic diseases,age_adjusted_smoking_attributable_mortality_rate_per_100k,83.52261694,,Final,28221330.1835938,28401.8230651796
16,Central,2020,Planning district,All sexes,All races/ethnicities,35+,Cancers,smoking_attributable_deaths,37.72049599,,Final,28221330.1835938,28401.8230651796
17,Central,2023,Planning district,All sexes,All races/ethnicities,35+,Cardiovascular and metabolic diseases,age_adjusted_smoking_attributable_mortality_rate_per_100k,50.45510112,,Preliminary,28221330.1835938,28401.8230651796
18,Central,2012,Planning district,All sexes,All races/ethnicities,35+,Pulmonary diseases,age_adjusted_smoking_attributable_mortality_rate_per_100k,41.75203285,,Final,28221330.1835938,28401.8230651796
19,Central,2015,Planning district,All sexes,All races/ethnicities,35+,Cardiovascular and metabolic diseases,smoking_attributable_deaths,39.96419315,,Final,28221330.1835938,28401.8230651796
20,Central,2023,Planning district,All sexes,All races/ethnicities,35+,Cancers,age_adjusted_smoking_attributable_mortality_rate_per_100k,42.88728846,,Preliminary,28221330.1835938,28401.8230651796
21,Central,2020,Planning district,All sexes,All races/ethnicities,35+,Cancers,age_adjusted_smoking_attributable_mortality_rate_per_100k,44.49449852,,Final,28221330.1835938,28401.8230651796
22,Central,2021,Planning district,All sexes,All races/ethnicities,35+,Cardiovascular and metabolic diseases,age_adjusted_smoking_attributable_mortality_rate_per_100k,55.09177631,,Final,28221330.1835938,28401.8230651796
23,Central,2013,Planning district,All sexes,All races/ethnicities,35+,Cancers,age_adjusted_smoking_attributable_mortality_rate_per_100k,74.60264278,,Final,28221330.1835938,28401.8230651796
24,Central,2013,Planning district,All sexes,All races/ethnicities,35+,All causes,age_adjusted_smoking_attributable_mortality_rate_per_100k,360.44993548,,Final,28221330.1835938,28401.8230651796
25,Central,2017,Planning district,All sexes,All races/ethnicities,35+,Cardiovascular and metabolic diseases,age_adjusted_smoking_attributable_mortality_rate_per_100k,91.08341025,,Final,28221330.1835938,28401.8230651796
26,Central,2020,Planning district,All sexes,All races/ethnicities,All ages,Colorectal cancer,age_adjusted_mortality_rate_per_100k,10.68698838,unreliable,Final,28221330.1835938,28401.8230651796
27,Central,2019,Planning district,All sexes,All races/ethnicities,35+,Pulmonary diseases,smoking_attributable_deaths,25.22483394,,Final,28221330.1835938,28401.8230651796
28,Central,2021,Planning district,All sexes,All races/ethnicities,35+,Pulmonary diseases,age_adjusted_smoking_attributable_mortality_rate_per_100k,21.58081857,,Final,28221330.1835938,28401.8230651796
29,Central,2020,Planning district,All sexes,All races/ethnicities,All ages,Colorectal cancer,count_deaths,16,,Final,28221330.1835938,28401.8230651796
30,Central,2020,Planning district,All sexes,All races/ethnicities,All ages,All causes,age_adjusted_mortality_rate_per_100k,578.6277108,,Final,28221330.1835938,28401.8230651796
31,Central,2020,Planning district,All sexes,All races/ethnicities,All ages,COVID-19,count_deaths,126,,Final,28221330.1835938,28401.8230651796
32,Central,2020,Planning district,All sexes,All races/ethnicities,All ages,COVID-19,age_adjusted_mortality_rate_per_100k,75.73982444,,Final,28221330.1835938,28401.8230651796
33,Central,2016,Planning district,All sexes,All races/ethnicities,35+,Pulmonary diseases,smoking_attributable_deaths,28.27893391,,Final,28221330.1835938,28401.8230651796
34,Central,2020,Planning district,All sexes,All races/ethnicities,All ages,Cancer,age_adjusted_mortality_rate_per_100k,107.23063184,,Final,28221330.1835938,28401.8230651796
35,Central,2020,Planning district,All sexes,All races/ethnicities,All ages,Cerebrovascular diseases,count_deaths,56,,Final,28221330.1835938,28401.8230651796
36,Central,2020,Planning district,All sexes,All races/ethnicities,All ages,Lung cancer,count_deaths,24,,Final,28221330.1835938,28401.8230651796
