objectid,geography_name,metric_name,year,metric_value,source,geography,Shape__Area,Shape__Length
1,Central,percent_of_population_identifying_as_hispanic,2020,6.29097659,Decennial Census,Planning district,5346237.8046875,12358.4878252745
2,Central,unemployment_rate_in_population_16_and_older,2023,4.00764985,American Community Survey 5-Year Estimates,Planning district,5346237.8046875,12358.4878252745
3,Central,percent_of_population_age_65_or_older,2023,15.0873292,American Community Survey 5-Year Estimates,Planning district,5346237.8046875,12358.4878252745
4,Central,percent_of_population_identifying_as_nh_black,2023,11.04472259,American Community Survey 5-Year Estimates,Planning district,5346237.8046875,12358.4878252745
5,Central,percent_of_population_in_poverty,2019,11.18813743,American Community Survey 5-Year Estimates,Planning district,5346237.8046875,12358.4878252745
6,Central,percent_of_population_identifying_as_nh_white,2023,68.37786465,American Community Survey 5-Year Estimates,Planning district,5346237.8046875,12358.4878252745
7,Central,percent_of_adult_population_without_bachelors_degree,2023,21.2432744,American Community Survey 5-Year Estimates,Planning district,5346237.8046875,12358.4878252745
8,Central,percent_of_population_in_poverty,2023,10.9709925,American Community Survey 5-Year Estimates,Planning district,5346237.8046875,12358.4878252745
9,Central,percent_of_population_without_health_insurance,2023,2.77140451,American Community Survey 5-Year Estimates,Planning district,5346237.8046875,12358.4878252745
10,Central,percent_of_population_reporting_no_checkup_in_past_year,2022,24.2513672,Behavioral Risk Factor Surveillance System PLACES Small Area Estimates,Planning district,5346237.8046875,12358.4878252745
11,Central,percent_of_population_with_a_disability,2023,9.24648583,American Community Survey 5-Year Estimates,Planning district,5346237.8046875,12358.4878252745
12,Central,percent_of_population_identifying_as_hispanic,2010,5.43830892,Decennial Census,Planning district,5346237.8046875,12358.4878252745
13,Central,percent_of_adult_population_without_bachelors_degree,2019,24.99331039,American Community Survey 5-Year Estimates,Planning district,5346237.8046875,12358.4878252745
14,Central,percent_of_population_identifying_as_nh_asian_pi,2020,11.50701704,Decennial Census,Planning district,5346237.8046875,12358.4878252745
15,Central,percent_of_population_identifying_as_nh_black,2020,10.35374812,Decennial Census,Planning district,5346237.8046875,12358.4878252745
16,Central,percent_of_population_identifying_as_nh_asian_pi,2023,9.99318581,American Community Survey 5-Year Estimates,Planning district,5346237.8046875,12358.4878252745
17,Central,percent_of_population_identifying_as_nh_multiracial,2010,2.11385445,Decennial Census,Planning district,5346237.8046875,12358.4878252745
18,Central,percent_of_population_identifying_as_nh_asian_pi,2010,9.61906225,Decennial Census,Planning district,5346237.8046875,12358.4878252745
